        A 马克思主义、列宁主义、毛泽东思想、邓小平理论
                    K437 尼日利亚
                        K437.0 通史
                        K437.3 早期史（~1886年）
                        K437.4 英国统治时期（1886~1960年）
                        K437.5 独立（1960年~）
                        K437.8 民族史志
                        K437.9 地方史志
                    K438 喀麦隆
                        K438.0 通史
                        K438.3 早期史（~1884年）
                        K438.4 近、现代史（1884~1959年）
                            K438.41 德国统治时期（1884~1916年）
                            K438.42 英、法统治时期（1916~1959年）
                        K438.5 独立（1960年~）
                        K438.8 民族史志
                        K438.9 地方史志
                    K439 赤道几内亚
                        K439.0 通史
                        K439.3 早期史（~1469年）
                        K439.4 葡、英、西班牙统治时期（1469~1968年）
                        K439.5 独立（1968年~）
                        K439.8 民族史志
                        K439.9 地方史志
                    K441 圣多美和普林西比
                        K441.0 通史
                        K441.3 早期史（~1471年）
                        K441.4 葡萄牙统治时期（1471~1975年）
                        K441.5 独立（1975年~）
                        K441.8 民族史志
                        K441.9 地方史志
                    K442 布基纳法索（上沃尔特）
                        K442.0 通史
                        K442.3 早期史（~1897年）
                        K442.4 法国统治时期（1897~1960年）
                        K442.5 独立（1960年~）
                        K442.8 民族史志
                        K442.9 地方史志
                    K443 贝宁（达荷美）
                        K443.0 通史
                        K443.3 早期史（~1904年）
                        K443.4 法国统治时期（1904~1960年）
                        K443.5 独立（1960年~）
                        K443.8 民族史志
                        K443.9 地方史志
                    K444 多哥
                        K444.0 通史
                        K444.3 早期史（~1894年）
                        K444.4 近、现代史（1894~1960年）
                            K444.41 德国统治时期（1894~1914年）
                            K444.42 英法统治时期（1914~1960年）
                        K444.5 独立（1960年~）
                        K444.8 民族史志
                        K444.9 地方史志
                    K445 加纳
                        K445.0 通史
                        K445.3 早期史（~1874年）
                        K445.4 英国统治时期（1874~1957年）
                        K445.5 独立（1957年~）
                        K445.8 民族史志
                        K445.9 地方史志
                    K446 科特迪瓦（象牙海岸）
                        K446.0 通史
                        K446.3 早期史（~1904年）
                        K446.4 近、现代史（1904年~）
                            K446.41 法国统治时期（1904~1960年）
                            K446.42 独立（1960年~）
                        K446.8 民族史志
                        K446.9 地方史志
                    K447 利比里亚
                        K447.0 通史
                        K447.2 早期史（~1462年）
                        K447.3 近代史（1462~1838年）
                        K447.4 从联邦到独立时期（1838~1847年）
                        K447.5 独立（1847年~）
                        K447.8 民族史志
                        K447.9 地方史志
                    K448 马里
                        K448.0 通史
                        K448.3 早期史（~1902年）
                        K448.4 法国统治时期（1902~1960年）
                        K448.5 独立（1960年~）
                        K448.8 民族史志
                        K448.9 地方史志
                    K449 塞拉利昂
                        K449.0 通史
                        K449.3 早期史（~1787年）
                        K449.4 英国殖民地及保护国时期（1787~1961年）
                        K449.5 独立（1961年~）
                        K449.8 民族史志
                        K449.9 地方史志
                    K451 几内亚
                        K451.0 通史
                        K451.3 早期史（~1882年）
                        K451.4 法国统治时期（1882~1958年）
                        K451.5 独立（1958年~）
                        K451.8 民族史志
                        K451.9 地方史志
                    K452 几内亚比绍
                        K452.0 通史
                        K452.3 早期史（~1879年）
                        K452.4 葡萄牙统治时期（1879~1974年）
                        K452.5 独立（1974年~）
                        K452.8 民族史志
                        K452.9 地方史志
                    K453 佛得角
                        K453.0 通史
                        K453.4 早期史（~1900年）
                        K453.5 现代史（1900~1975年）
                        K453.6 独立（1975年~）
                        K453.8 民族史志
                        K453.9 地方史志
                K46 中非
                    K461 乍得
                        K461.0 通史
                        K461.3 早期史（~1850年）
                        K461.4 法国统治时期（1850~1960年）
                        K461.5 独立（1960年~）
                        K461.8 民族史志
                        K461.9 地方史志
                    K462 中非共和国
                        K462.0 通史
                        K462.3 早期史（~1890年）
                        K462.4 法国统治时期（1890~1960年）
                        K462.5 独立（1960年~）
                        K462.8 民族史志
                        K462.9 地方史志
                    K463 扎伊尔
                        K463.0 通史
                        K463.3 早期史（~1885年）
                        K463.4 比利时统治时期（1885~1960年）
                        K463.5 独立（1960年~）
                        K463.8 民族史志
                        K463.9 地方史志
                    K464 刚果
                        K464.0 通史
                        K464.3 早期史（~1885年）
                        K464.4 法国统治时期（1885~1960年）
                        K464.5 独立（1960年~）
                        K464.8 民族史志
                        K464.9 地方史志
                    K465 加蓬
                        K465.0 通史
                        K465.3 早期史（~1839年）
                        K465.4 法国统治时期（1839~1960年）
                        K465.5 独立（1960年~）
                        K465.8 民族史志
                        K465.9 地方史志
                K47 南非
                    K471 莫桑比克（莫三鼻给）
                        K471.0 通史
                        K471.3 早期史（~1648年）
                        K471.4 葡萄牙统治时期（1648~1975年）
                        K471.5 独立（1975年~）
                        K471.8 民族史志
                        K471.9 地方史志
                    K472 马拉维
                        K472.0 通史
                        K472.3 早期史（~1891年）
                        K472.4 英国统治时期（1891~1953年）
                        K472.5 中非联邦时期（1953~1963年）
                        K472.6 独立（1963年~）
                        K472.8 民族史志
                        K472.9 地方史志
                    K473 赞比亚
                        K473.0 通史
                        K473.3 早期史（~1890年）
                        K473.4 英国统治时期（1890~1953年）
                        K473.5 中非联邦时期（1953~1963年）
                        K473.6 独立（1963年~）
                        K473.8 民族史志
                        K473.9 地方史志
                    K474 安哥拉
                        K474.0 通史
                        K474.3 早期史（~1482年）
                        K474.4 葡萄牙统治时期（1482~1975年）
                        K474.5 独立（1975年~）
                        K474.8 民族史志
                        K474.9 地方史志
                    K475 津巴布韦（南罗得西亚）
                        K475.0 通史
                        K475.3 早期史（~1889年）
                        K475.4 英国统治时期（1889~1953年）
                        K475.5 中非联邦时期（1953~1963年）
                        K475.6 独立（1963年~）
                        K475.8 民族史志
                        K475.9 地方史志
                    K476 博茨瓦纳
                        K476.0 通史
                        K476.3 早期史（~1885年）
                        K476.4 英国统治时期（1885~1966年）
                        K476.5 独立（1966年~）
                        K476.8 民族史志
                        K476.9 地方史志
                    K477 纳米比亚（西南非洲）
                        K477.0 通史
                        K477.3 早期史（~1884年）
                        K477.4 德国统治时期（1884~1915年）
                        K477.5 南非统治时期（1915~1990年）
                        K477.6 独立后（1990年~）
                        K477.8 民族史志
                        K477.9 地方史志
                    K478 南非（阿扎尼亚）
                        K478.0 通史
                        K478.2 早期史（~1488年）
                        K478.3 欧洲人入侵时期（1488~1814年）
                        K478.4 近代史（1814~1910年）
                        K478.5 南非联邦（1910~1961年）
                        K478.6 共和国（1961年~）
                        K478.8 民族史志
                        K478.9 地方史志
                    K479 斯威士兰（恩格尼尼）
                        K479.0 通史
                        K479.3 早期史（~1840年）
                        K479.4 英国统治时期（1840~1968年）
                        K479.5 独立（1968年~）
                        K479.8 民族史志
                        K479.9 地方史志
                    K481 莱索托（巴苏托兰）
                        K481.0 通史
                        K481.3 早期史（~1868年）
                        K481.4 英国统治时期（1868~1966年）
                        K481.5 独立（1966年~）
                        K481.8 民族史志
                        K481.9 地方史志
                    K482 马达加斯加（马拉加萨共和国、马尔加什）
                        K482.0 通史
                        K482.3 早期史（~1895年）
                        K482.4 法国统治时期（1896~1960年）
                        K482.5 独立（1960年~）
                        K482.8 民族史志
                        K482.9 地方史志
                    K484 毛里求斯
                        K484.0 通史
                        K484.3 早期史（~1810年）
                        K484.4 英国统治时期（1810~1968年）
                        K484.5 独立（1968年~）
                        K484.8 民族史志
                        K484.9 地方史志
            K5 欧洲史
                K500 通史
                K501 上古史
                K502 古代史
                K503 中世纪史
                K504 近代史
                K505 现代史
                K508 民族史志
                K51 东欧、中欧
                    [K511.2] 俄罗斯
                    K511.3 乌克兰
                    K511.4 白俄罗斯
                    K511.5 摩尔达维亚
                    K511.6 爱沙尼亚
                    K511.7 拉脱维亚
                    K511.8 立陶宛
                    K512 俄罗斯及苏联
                        K512.0 通史
                        K512.1 上古史
                        K512.2 古代史（~882年）
                        K512.3 中世纪史（882~1861年）
                            K512.31 基辅罗斯（882~1140年）
                            K512.32 封建割据时期（1140~1462年）
                            K512.33 俄罗斯中央集权国家形成时期（1462~1689年）
                            K512.34 俄罗斯帝国建立时期（1689~1861年）
                        K512.4 近代史（1861~1917年）
                            K512.41 农奴制度的废除（1861年）
                            K512.42 资本主义发展和向帝国主义过渡时期（1861~1905年）
                            K512.43 俄罗斯资产阶级民主革命时期（1905~1917年）
                            K512.44 第一次资产阶级民主革命（1905~1907年）
                            K512.46 第二次资产阶级民主革命（二月革命）（1917年3月）
                        K512.5 苏联史（1917~1991年）
                            K512.51 十月社会主义革命（1917年）
                            K512.52 外国武装干涉和国内战争时期（1918~1920年）
                            K512.53 恢复国民经济和建设社会主义时期（1921~1939年）
                            K512.54 第二次世界大战和卫国战争时期（1939~1945年）
                            K512.55 第二次世界大战后至苏共二十大（1945~1956年）
                            K512.56 苏共二十大以后（1956~1991年）
                        K512.6 1991年以后的历史
                        K512.8 民族史志
                        K512.9 地方史志
                            K512.91 莫斯科
                            {K512.92} 俄罗斯
                            K512.93 波罗的海沿岸地区
                                K512.931 爱沙尼亚
                                K512.932 拉脱维亚
                                K512.933 立陶宛
                            K512.94 西部地区
                                K512.941 白俄罗斯
                                K512.942 乌克兰
                                K512.943 摩尔达维亚
                            K512.95 高加索地区
                                K512.951 格鲁吉亚
                                K512.952 阿塞拜疆
                                K512.953 亚美尼亚
                            K512.96 中亚细亚地区
                                K512.961 哈萨克
                                K512.962 乌兹别克
                                K512.963 土库曼
                                K512.964 吉尔吉斯
                                K512.965 塔吉克
                    K513 波兰
                        K513.0 通史
                        K513.1 上古史
                        K513.2 古代史（~965年）
                        K513.3 中世纪史（965~1795年）注：
                        K513.4 近代史（1795~1944年）
                            K513.41 第一次世界大战前及大战时期（1795~1918年）
                            K513.42 第一次世界大战后至第二次世界大战前夕（1918~1938年）
                            K513.43 第二次世界大战时期（1939~1944年）
                        K513.5 波兰人民共和国史（1944年~）
                        K513.8 民族史志
                        K513.9 地方史志
                    K514 捷克斯洛伐克（～1992年）
                        K514.0 通史
                        K514.1 上古史
                        K514.2 古代史（~623年）
                        K514.3 中世纪史（624~1848年）
                            K514.31 捷克封建国家形成和封建关系发展时期（624~1526年）
                            K514.32 胡斯运动（1419~1434年）
                            K514.33 哈布斯堡王朝统治时期（1526~1848年）
                        K514.4 近代史（1848~1945年）
                            K514.41 第一次世界大战及大战时期（1848~1918年）
                            K514.42 第一次世界大战后至第二次世界大战前夕（1918~1939年）
                            K514.43 第二次世界大战时期（1939~1945年）
                        K514.5 捷克斯洛伐克社会主义共和国史（1945~1992年）
                        K514.8 民族史志
                        K514.9 地方史志
                    K515 匈牙利
                        K515.0 通史
                        K515.1 上古史
                        K515.2 古代史（~1000年）
                        K515.3 中世纪史（1000~1848年）
                            K515.31 封建关系确立和发展时期（1000~1526年）
                            K515.32 土耳其及哈布斯堡王朝统治时期（1526~1848年）
                        K515.4 近代史（1848~1945年）
                            K515.41 第一次世界大战前及大战时期（1848~1918年）
                            K515.42 资产阶级民主革命和匈牙利苏维埃共和国时期（1918~1919年）
                            K515.43 霍尔蒂法西斯专政时期（1920~1945年）
                        K515.5 匈牙利人民共和国史（1945年~）
                        K515.8 民族史志
                        K515.9 地方史志
                    K516 德国
                        K516.0 通史
                        K516.1 上古史
                        K516.2 古代史（~481年）
                        K516.3 中世纪史（481~1848年）
                            K516.31 德国农民战争以前（481~1524年）
                            K516.32 宗教改革和德国农民战争
                            K516.33 德国农民战争以后（1525~1848年）
                        K516.4 近、现代史（1848年~）
                            K516.41 资产阶级民主革命至普法战争时期（1848~1871年）
                            K516.42 德意志帝国时期（1871~1918年）
                            K516.43 十一月革命和魏玛共和国（1918~1932年）
                            K516.44 法西斯统治时期（1933~1945年）
                            K516.5 第二次世界大战以后至统一以前（1945~1990年）
                            K516.7 统一以后（1990年~）
                        K516.8 民族史志
                        K516.9 地方史志
                    K517 德意志民主共和国（1945~1990年）
                    K518 德意志联邦共和国（1945~1990年）
                    K519 卢森堡
                    K521 奥地利
                        K521.0 通史
                        K521.1 上古史
                        K521.2 古代史（~481年）
                        K521.3 中世纪史（481~1848年）
                        K521.4 近、现代史（1848年~）
                            K521.41 第一次世界大战前及大战时期（1848~1918年）
                            K521.42 第一次世界大战后至第二次世界大战前夕（1918~1938年）
                            K521.43 德国法西斯侵占时期（1938~1945年）
                            K521.5 第二次世界大战以后（1945年~）
                        K521.8 民族史志
                        K521.9 地方史志
                    K522 瑞士
                        K522.0 通史
                        K522.2 古代史（~1291年）
                        K522.3 中世纪史（1291~1648年）
                            K522.31 争取独立的时期（1291~1499年）
                            K522.32 宗教改革时期（1499~1648年）
                        K522.4 近代史
                            K522.41 内战时期（1648~1789年）
                            K522.42 拿破仑统治时期（1789~1815年）
                        K522.5 现代史
                            K522.51 从独立到建立联邦（1815~1900年）
                            K522.52 第一次世界大战前后（1900~1918年）
                            K522.53 第二次世界大战前及大战时期（1918~1945年）
                            K522.54 第二次世界大战后（1945年~）
                        K522.8 民族史志
                        K522.9 地方史志
                    K523 列支敦士登
                    K524 捷克
                    K525 斯洛伐克
                K53 北欧
                    K531 芬兰
                        K531.0 通史
                        K531.2 古代史（~1100年）
                        K531.3 中世纪史（1100~1809年）
                            K531.31 瑞典统治时期（1100~1397年）
                            K531.32 卡尔马联盟时期（1397~1523年）
                            K531.33 瑞典与沙俄争夺时期（1523~1809年）
                        K531.4 近代史（1809~1917年）
                        K531.5 现代史
                            K531.51 独立时期（1917~1939年）
                            K531.52 苏芬战争（1939~1944年）
                            K531.53 第二次世界大战后（1945年~）
                        K531.8 民族史志
                        K531.9 地方史志
                    K532 瑞典
                        K532.0 通史
                        K532.2 古代史（~1397年）
                        K532.3 卡尔马联盟时期（1397~1523年）
                        K532.39 瓦萨王朝向外扩张时期（1523~1654年）
                        K532.4 帝国衰落时期（1654~1918年）
                        K532.5 现代史
                            K532.51 第一次世界大战至第二次世界大战（1918~1940年）
                            K532.52 第二次世界大战德国占领时期（1940~1945年）
                            K532.53 第二次世界大战后（1945年~）
                        K532.8 民族史志
                        K532.9 地方史志
                    K533 挪威
                        K533.0 通史
                        K533.2 古代史（~1397年）
                        K533.3 卡尔马联盟时期（1397~1814年）
                        K533.4 瑞挪联盟时期（1814~1905年）
                        K533.5 现代史（1905年~）
                            K533.51 挪威王国至第二次世界大战（1905~1940年）
                            K533.52 第二次世界大战德国占领时期（1940~1945年）
                            K533.53 第二次世界大战后（1945年~）
                        K533.8 民族史志
                        K533.9 地方史志
                    K534 丹麦
                        K534.0 通史
                        K534.2 古代史（~1397年）
                        K534.3 卡尔马联盟时期（1397~1523年）
                        K534.4 丹挪联盟时期至第一次世界大战前（1523~1906年）
                        K534.5 现代史
                            K534.51 第一次世界大战至第二次世界大战（1906~1940年）
                            K534.52 第二次世界大战德国占领时期（1940~1945年）
                            K534.53 第二次世界大战后（1945年~）
                        K534.8 民族史志
                        K534.9 地方史志
                    K535 冰岛
                        K535.0 通史
                        K535.2 古代史（~1262年）
                        K535.3 中世纪史（1262~1550年）
                        K535.4 近代史（1550~1848年）
                        K535.5 现代史（1848年~）
                        K535.6 共和国（1944年~）
                        K535.8 民族史志
                        K535.9 地方史志
                K54 南欧（东南欧、西南欧）
                    K541 阿尔巴尼亚
                        K541.0 通史
                        K541.2 古代史（~1443年）
                        K541.3 中世纪史（1443~1912年）
                            K541.31 反抗土耳其侵略者的战争（1443~1479年）
                            K541.32 土耳其侵占时期（1479~1912年）
                        K541.4 独立后的阿尔巴尼亚（1912~1944年）
                            K541.41 独立后至第一次世界大战时期（1912~1918年）
                            K541.42 第一次世界大战后至第二次世界大战前夕（1918~1939年）
                            K541.43 第二次世界大战时期（1939~1944年）
                            K541.44 解放战争时期（1944~1946年）
                        K541.5 阿尔巴尼亚人民共和国史（1946年~）
                        K541.8 民族史志
                        K541.9 地方史志
                    K542 罗马尼亚
                        K542.0 通史
                        K542.1 上古史
                        K542.2 古代史
                        K542.3 中世纪史（~1859年）
                            K542.31 早期
                            K542.32 中期
                            K542.33 晚期封建社会的危机和资本主义的形成
                        K542.4 近代史（1859~1947年）
                            K542.41 第一次世界大战前及第一次世界大战时期（1859~1918年）
                            K542.42 第二次世界大战前及第二次世界大战时期（1919~1944年）
                            K542.43 人民武装起义和罗马尼亚人民的解放（1944~1947年）
                        K542.5 罗马尼亚社会主义共和国史（1947年~）
                        K542.8 民族史志
                        K542.9 地方史志
                    K543 南斯拉夫
                        K543.0 通史
                        K543.2 古代史
                        K543.3 中世纪史（~1459年）
                        K543.4 近代史（1459~1918年）
                        K543.5 现代史（1918～1992年）
                            K543.51 塞尔维亚、克罗地亚、斯洛文尼亚王国（1918~1929年）
                            K543.52 南斯拉夫王国及德、意入侵时期（1929~1941年）
                            K543.53 解放战争时期（1941~1944年）
                            K543.54 社会主义联邦共和国（1945年~1992年）
                        K543.6 1992年后的历史
                        K543.8 民族史志
                        K543.9 地方史志
                    K544 保加利亚
                        K544.0 通史
                        K544.1 上古史
                        K544.2 古代史（~679年）
                        K544.3 中世纪史（679~1878年）
                            K544.31 第一保加利亚王国（679~1018年）
                            K544.32 拜占庭帝国统治时期（1018~1185年）
                            K544.33 第二保加利亚王国（1185~1396年）
                            K544.34 土耳其侵占时期（1396~1878年）
                        K544.4 近代史（1878~1944年）
                            K544.41 第一次世界大战前及大战时期（1878~1918年）
                            K544.42 第一次世界大战后至第二次世界大战前夕（1918~1939年）
                            K544.43 第二次世界大战时期（1939~1944年）
                        K544.5 保加利亚人民共和国史（1944年~）
                        K544.8 民族史志
                        K544.9 地方史志
                    K545 希腊
                        K545.0 通史
                        K545.1 上古史（公元前2000~公元前775年）
                        K545.2 古代史（公元前775~公元前146年）
                        K545.3 罗马时期（公元前146~公元395年）
                        K545.39 拜占庭时期（395~1453年）
                        K545.4 土耳其时期（1453~1829年）
                        {K545.41} 希腊王国成立以后（1829~1942年）
                        K545.49 希腊王国成立以后（1829~1942年）
                        K545.5 现代史
                            K545.51 第二次世界大战前至第二次世界大战（1942~1945年）
                            K545.52 第二次世界大战后（1945~1973年）
                        K545.6 希腊共和国（1973年~）
                        K545.8 民族史志
                        K545.9 地方史志
                    K546 意大利
                        K546.0 通史
                        K546.1 上古史、古代史（~476年）
                        K546.3 中世纪史（476~1870年）
                            K546.31 文艺复兴以前（476~1300年）
                            K546.32 文艺复兴时期（1300~1494年）
                            K546.33 文艺复兴以后（1494~1870年）
                        K546.4 近、现代史（1870年~）
                            K546.41 第一次世界大战以前至第一次世界大战时期（1870~1918年）
                            K546.42 第一次世界大战以后至第二次世界大战时期（1918~1945年）
                            K546.5 第二次世界大战以后（1945年~）
                        K546.8 民族史志
                        K546.9 地方史志
                    K547 梵蒂冈
                    K548 圣马力诺
                    K549 马耳他
                    K551 西班牙
                        K551.0 通史
                        K551.2 古代史（~711年）
                        K551.3 中世纪史
                            K551.31 摩尔人王朝（718~1479年）
                            K551.32 西班牙统治时期（1479~1516年）
                            K551.33 哈布斯堡王朝时期（1516~1700年）
                        K551.4 近代史
                            K551.41 波旁王朝时期（1700~1808年）
                            K551.42 比利牛斯战争及约瑟夫、波拿巴的统治（1808~1814年）
                            K551.43 波旁王朝复辟时期（1814~1868年）
                        K551.5 现代史
                            K551.51 第一次世界大战前后（1868~1931年）
                            K551.52 第二共和国及内战时期（1931~1939年）
                            K551.53 弗朗哥当政（1939~1945年）
                            K551.54 第二次世界大战后（1945年~）
                        K551.8 民族史志
                        K551.9 地方史志
                    K552 葡萄牙
                        K552.0 通史
                        K552.2 古代史（~1143年）
                        K552.3 殖民帝国的兴衰（1143~1640年）
                            K552.32 西班牙统治时期（1580~1640年）
                        K552.4 布拉甘沙王室统治时期（1640~1910年）
                        K552.5 共和国时期（1910年~）
                            K552.51 萨拉查统治时期（1930~1969年）
                            K552.52 1969年以后
                        K552.8 民族史志
                        K552.9 地方史志
                    K553 安道尔
                    [K555.1] 南斯拉夫联邦（塞－黑联邦）
                    K555.3 克罗地亚
                    K555.4 斯洛文尼亚
                    K555.5 波斯尼亚－黑塞哥维那（波黑）
                    K555.6 马其顿
                K56 西欧
                    K561 英国
                        K561.0 通史
                        K561.1 上古史
                        K561.2 古代史（~450年）
                        K561.3 中世纪史（450~1640年）
                            K561.31 早期封建社会（5~11世纪）
                            K561.32 中期封建社会（11~15世纪）
                            K561.33 晚期封建社会（15~17世纪）
                        K561.4 近、现代史（1640年~）
                            K561.41 英国资产阶级革命（1640~1688年）
                            K561.42 资本主义制度巩固和发展时期（1689~18世纪中叶）
                            K561.43 工业革命时期（18世纪中叶~19世纪中叶）
                            K561.44 过渡到帝国主义及第一次世界大战时期（19世纪晚期~1918年）
                            K561.45 第一次世界大战后至第二次世界大战前夕（1918~1939年）
                            K561.46 第二次世界大战时期（1939~1945年）
                            K561.5 第二次世界大战以后（1945年~）
                        K561.8 民族史志
                        K561.9 地方史志
                    K562 爱尔兰
                        K562.0 通史
                        K562.2 早期史（~1086年）
                        K562.3 英国人统治时期（1086~1921年）
                        K562.4 爱尔兰自由邦（1922~1937年）
                        K562.5 爱尔兰共和国（1937年~）
                        K562.8 民族史志
                        K562.9 地方史志
                    K563 荷兰
                        K563.0 通史
                        K563.2 古代史（~1477年）
                        K563.3 中世纪史
                            K563.31 哈布斯堡王朝统治时期（1477~1568年）
                            K563.32 争取独立时期（1568~1648年）
                        K563.4 近代史
                            K563.41 共和国对外扩张时期（1648~1795年）
                            K563.42 拿破仑统治时期（1795~1830年）
                            K563.43 荷兰王国时期（1830~1914年）
                        K563.5 现代史
                            K563.51 第一次世界大战德国占领时期（1914~1918年）
                            K563.52 第一次世界大战后至第二次世界大战时期（1918~1940年）
                            K563.53 第二次世界大战德国占领时期（1940~1945年）
                            K563.54 第二次世界大战后（1945年~）
                        K563.8 民族史志
                        K563.9 地方史志
                    K564 比利时
                        K564.0 通史
                        K564.2 古代史（~1477年）
                        K564.3 外国统治时期（1477~1830年）
                        K564.4 比利时王国时期（1830~1914年）
                        K564.5 现代史
                            K564.51 第一次世界大战德国占领时期（1914~1918年）
                            K564.52 第一次世界大战后至第二次世界大战（1918~1939年）
                            K564.53 第二次世界大战德国占领时期（1940~1945年）
                            K564.54 第二次世界大战后（1945年~）
                        K564.8 民族史志
                        K564.9 地方史志
                    K565 法国
                        K565.0 通史
                        K565.2 古代史（~486年）
                        K565.3 中世纪史（486~1789年）
                        K565.4 近、现代史（1789年~）
                            K565.41 法国资产阶级革命至巴黎公社前夕（1789~1870年）
                            K565.42 巴黎公社至第二次世界大战（1871~1945年）
                                K565.43 普法战争（1870~1871年）
                                K565.44 巴黎公社（1871年）
                                K565.45 巴黎公社后至第二次世界大战前夕（1871~1939年）
                                K565.46 第二次世界大战时期（1939~1945年）
                            K565.5 第二次世界大战以后（1945年~）
                        K565.8 民族史志
                        K565.9 地方史志
                    K566 摩纳哥
            K6 大洋洲史
                K61 澳、新、巴地区
                    K611 澳大利亚
                        K611.0 通史
                        K611.3 早期史（~1788年）
                        K611.4 近代史
                            K611.41 殖民地开拓时期（1788~1850年）
                            K611.42 殖民地时期（1850~1901年）
                            K611.43 联邦成立时期（1901~1914年）
                        K611.5 现代史
                            K611.51 第一次世界大战时期（1914~1918年）
                            K611.52 第一次世界大战后（1918~1939年）
                            K611.53 第二次世界大战时期（1939~1945年）
                            K611.54 第二次世界大战后（1945年~）
                        K611.8 民族史志
                        K611.9 地方史志
                    K612 新西兰
                        K612.0 通史
                        K612.3 早期史（~1840年）
                        K612.4 近代史（1840~1914年）
                            K612.41 殖民地时期（1840~1907年）
                            K612.42 英国自治领时期（1907~1914年）
                        K612.5 现代史
                            K612.51 第一次世界大战至第二次世界大战（1914~1945年）
                            K612.52 第二次世界大战后（1945年~）
                        K612.8 民族史志
                        K612.9 地方史志
                    K613 巴布亚新几内亚
                    K638 西萨摩亚
                    K639 汤加
                    K641 库克群岛
                    {K645} 库克群岛
                    K646 图瓦卢
                    {K647} 基里巴斯
                    K655 瑙鲁
                    K656 基里巴斯
                    K661 斐济
            K7 美洲史
                K700 通史
                K702 古代史（~1492年）
                K703 殖民地时期（1492~1774年）
                K704 美国独立战争至第二次世界大战时期（1775~1945年）
                K705 第二次世界大战以后（1945年~）
                K708 民族史志
                K71 北美洲
                    K711 加拿大
                        K711.0 通史
                        K711.3 早期史（~1763年）
                        K711.4 近代史
                            K711.41 英国殖民地时期（1763~1791年）
                            K711.42 殖民地分裂时期（1791~1841年）
                            K711.43 争取自治时期（1841~1867年）
                            K711.44 英联邦自治领成立至第一次世界大战（1867~1914年）
                        K711.5 现代史
                            K711.51 第一次世界大战至第二次世界大战（1914~1945年）
                            K711.52 第二次世界大战后（1945年~）
                        K711.8 民族史志
                        K711.9 地方史志
                    K712 美国
                        K712.0 通史
                        K712.2 古代史（~1492年）
                        K712.3 殖民地时期（1492~1774年）
                        K712.4 独立战争和战后资本主义发展时期（1775~1898年）
                            K712.41 独立战争（1775~1783年）
                            K712.42 独立后的领土扩张（1783~1860年）
                            K712.43 南北战争（1861~1865年）
                            K712.44 向帝国主义过渡的时期（1865~1898年）
                        K712.5 帝国主义时期（1898年~）
                            K712.51 美西战争至第一次世界大战时期（1898~1918年）
                            K712.52 第一次世界大战后至第二次世界大战前夕（1918~1939年）
                            K712.53 第二次世界大战时期（1939~1945年）
                            K712.54 第二次世界大战以后（1945年~）
                        K712.8 民族史志
                        K712.9 地方史志
                K73 拉丁美洲
                    K731 墨西哥
                        K731.0 通史
                        K731.2 古代史（~1519年）
                        K731.3 西班牙统治时期（1519~1810年）
                        K731.4 近代史
                            K731.41 独立革命运动时期（1810~1824年）
                            K731.42 联邦共和国时期（1824~1846年）
                            K731.43 美墨战争（1846~1848年）
                            K731.44 改革时期（1848~1861年）
                            K731.45 英、法、西的入侵（1861~1867年）
                            K731.46 第一次世界大战前后（1867~1917年）
                        K731.5 现代史
                            K731.51 第二次世界大战前（1917~1939年）
                            K731.52 第二次世界大战时期（1939~1945年）
                            K731.53 第二次世界大战后（1945年~）
                        K731.8 民族史志
                        K731.9 地方史志
                    K741 危地马拉
                    K742 洪都拉斯
                    K743 伯利兹
                    K744 萨尔瓦多
                    K745 尼加拉瓜
                    K746 哥斯达黎加
                    K747 巴拿马
                K75 西印度群岛
                    K751 古巴
                        K751.0 通史
                        K751.2 古代史（~1492年）
                        K751.3 殖民地时期（1492~1898年）
                        K751.4 美国控制下的古巴共和国时期（1898~1959年）
                        K751.5 古巴革命政府成立以后（1959年~）
                        K751.8 民族史志
                        K751.9 地方史志
                    K752 海地
                        K752.0 通史
                        K752.2 早期史（~1492年）
                        K752.3 西班牙统治时期（1492~1625年）
                        K752.4 近、现代史（1625~1934年）
                            K752.41 法国统治时期（1625~1804年）
                            K752.42 独立共和时期（1804~1915年）
                            K752.43 美国统治时期（1915~1934年）
                        K752.5 共和国（1934年~）
                        K752.8 民族史志
                        K752.9 地方史志
                    K753 多米尼加
                        K753.0 通史
                        K753.2 早期史（~1492年）
                        K753.3 西班牙、法国统治时期（1492~1865年）
                        K753.4 恢复独立（1866~1915年）
                        K753.5 美国占领（1915~1978年）
                        K753.6 独立后（1978年~）
                        K753.8 民族史志
                        K753.9 地方史志
                    K754 牙买加
                        K754.0 通史
                        K754.2 早期史（~1509年）
                        K754.3 西班牙统治时期（1509~1655年）
                        K754.4 英国统治时期（1655~1962年）
                        K754.5 独立（1962年~）
                        K754.8 民族史志
                        K754.9 地方史志
                    K755 波多黎各
                        K755.0 通史
                        K755.2 早期史（~1493年）
                        K755.3 早期殖民地时期（1493~1602年）
                        K755.4 西班牙、美国统治时期（1602~1952年）
                        K755.5 独立（1952年~）
                        K755.8 民族史志
                        K755.9 地方史志
                    K762 巴巴多斯
                    K766 圣卢西亚
                    K767 特立尼达和多巴哥
                        K767.0 通史
                        K767.2 早期史（~1498年）
